pulse_id,frequency_mhz,amplitude_db,pulse_width_us,pri_us,doppler_hz,snr_db,range_km,azimuth_deg,elevation_deg,label
P001,9420.5,-18.2,1.20,950.0,120.0,24.5,18.3,32.0,4.5,friendly_aircraft
P002,9418.9,-19.0,1.15,960.0,118.0,23.8,18.9,34.0,4.8,friendly_aircraft
P003,9445.2,-11.8,0.82,720.0,355.0,31.2,42.5,77.0,8.4,fast_mover
P004,9448.0,-12.5,0.79,710.0,362.0,30.5,43.0,75.5,8.1,fast_mover
P005,9388.4,-25.1,2.60,1400.0,-45.0,18.9,12.1,145.0,2.0,ground_clutter
P006,9391.2,-24.7,2.55,1380.0,-52.0,19.4,11.8,147.0,1.8,ground_clutter
P007,9472.8,-9.2,0.60,540.0,480.0,36.1,55.4,102.0,12.7,missile_like
P008,9475.1,-8.9,0.58,530.0,495.0,37.0,56.0,100.5,12.9,missile_like
P009,9405.0,-20.8,1.45,1105.0,88.0,22.4,20.2,15.0,3.2,helicopter
P010,9403.7,-21.3,1.50,1118.0,83.0,21.9,19.8,17.5,3.5,helicopter
P011,9458.6,-14.0,0.95,810.0,290.0,28.7,38.2,61.0,6.9,unknown_track
P012,9460.1,-13.6,0.98,805.0,301.0,29.0,37.9,60.2,7.1,unknown_track
